"Ano","ID.IBGE","Localidade","ice_emprego","Empregos","Massa.Salarial","Renda.Mensal.Média","Distância.média","Ganho.de.oportunidade.médio","rank"
2006,41,"Paraná",0.99,"2,25 Milhões","R$ 2,47 Bilhões","R$ 1,1 Mil","0,6","0,157",6
2006,42,"Santa Catarina",1.025,"1,6 Milhão","R$ 1,73 Bilhão","R$ 1,08 Mil","0,61","0,139",5
2006,43,"Rio Grande do Sul",1.265,"2,32 Milhões","R$ 2,84 Bilhões","R$ 1,23 Mil","0,633","0,088",4
2006,50,"Mato Grosso do Sul",-0.69,"439 Mil","R$ 485 Milhões","R$ 1,11 Mil","0,84","0,229",19
2006,51,"Mato Grosso",-0.612,"518 Mil","R$ 526 Milhões","R$ 1,01 Mil","0,808","0,252",18
2006,52,"Goiás",-0.291,"993 Mil","R$ 974 Milhões","R$ 981","0,771","0,253",15
2006,53,"Distrito Federal",0.166,"917 Mil","R$ 2,54 Bilhões","R$ 2,77 Mil","0,941","0,098",10
2007,11,"Rondônia",-0.841,"246 Mil","R$ 290 Milhões","R$ 1,18 Mil","0,875","0,193",22
2007,12,"Acre",-1.276,"92 Mil","R$ 127 Milhões","R$ 1,38 Mil","0,946","0,131",27
2007,13,"Amazonas",1.015,"483 Mil","R$ 647 Milhões","R$ 1,34 Mil","0,812","0,086",5
2007,14,"Roraima",-0.751,"45,7 Mil","R$ 67,1 Milhões","R$ 1,47 Mil","0,898","0,166",21
2007,15,"Pará",-0.584,"796 Mil","R$ 835 Milhões","R$ 1,05 Mil","0,793","0,256",19
2007,16,"Amapá",-1.076,"88,9 Mil","R$ 141 Milhões","R$ 1,59 Mil","0,927","0,149",25
2007,17,"Tocantins",-1.273,"204 Mil","R$ 224 Milhões","R$ 1,1 Mil","0,901","0,187",26
2007,21,"Maranhão",-0.931,"483 Mil","R$ 464 Milhões","R$ 960","0,839","0,234",24
2007,22,"Piauí",-0.85,"299 Mil","R$ 278 Milhões","R$ 929","0,872","0,2",23
2007,23,"Ceará",0.059,"1,06 Milhão","R$ 951 Milhões","R$ 898","0,795","0,191",11
2007,24,"Rio Grande do Norte",-0.104,"498 Mil","R$ 504 Milhões","R$ 1,01 Mil","0,843","0,176",13
2007,25,"Paraíba",-0.375,"475 Mil","R$ 425 Milhões","R$ 894","0,861","0,177",15
2007,26,"Pernambuco",0.288,"1,24 Milhão","R$ 1,23 Bilhão","R$ 990","0,746","0,192",10
2007,27,"Alagoas",-0.581,"408 Mil","R$ 384 Milhões","R$ 941","0,877","0,177",18
2007,28,"Sergipe",-0.216,"321 Mil","R$ 350 Milhões","R$ 1,09 Mil","0,857","0,172",14
2007,29,"Bahia",0.032,"1,78 Milhão","R$ 1,88 Bilhão","R$ 1,06 Mil","0,783","0,2",12
2007,31,"Minas Gerais",0.346,"4,04 Milhões","R$ 4,3 Bilhões","R$ 1,07 Mil","0,684","0,222",7
